GivenName,Surname,StreetAddress,TelephoneNumber
Pearl,Desantis,"1905 Carlson Road",250-617-8931
Noel,Price,"2190 137th Avenue",780-708-0387
Dorothy,Mason,"4901 40th Street",403-270-2213
Keith,Pharr,"1068 rue Parc",819-780-0659
Emma,Dibenedetto,"3698 Dundas St",519-282-7721
Helen,Flanigan,"1015 Heritage Drive",403-874-5932
Lloyd,Fowler,"137 MacLaren Street",613-567-9888
Kevin,Caudillo,"4453 Port Washington Road",403-637-5137
Don,Beck,"94 Islington Ave",416-859-6182
Kenneth,Clarke,"4728 St. Paul Street",905-295-9707
Monica,McDermott,"1475 Dry Pine Bay Rd",705-898-4392
Melody,Greene,"370 Burdett Avenue",604-208-1081
Lisa,Portillo,"1230 Duke Street",514-236-6588
Robert,Sweeney,"2498 Paris St",705-562-1651
Stephanie,Edwards,"2928 184th Street",403-999-9804
Charles,Green,"4196 5th Avenue",780-981-9507
Michael,Dilley,"153 Boulevard Ste-Geneviève",418-544-8245
Janet,Boyd,"3424 Alaska Hwy",867-333-2096
Linda,Loftis,"2708 Harvest Moon Dr",905-943-5720
Randal,Moore,"609 Duke Street",514-209-3296
Britt,Otero,"2419 Merton Street",416-432-2377
Wilbert,Bird,"3694 Hammarskjold Dr",604-320-5338
Margaret,Morris,"2543 Kinchant St",604-463-5336
Melvin,Dougan,"2004 rue Levy",514-919-9659
Joseph,Mitchell,"2943 rue Saint-Antoine",450-236-1620
Mary,Wingo,"822 Port Washington Road",403-687-3641
Michael,Black,"3300 Brand Road",306-229-7287
Diane,Ekstrom,"4651 Lock Street",519-740-3936
Jennifer,Sisson,"2367 chemin Georges",450-222-5089
Max,Blake,"4760 Charing Cross Rd",519-380-9344
Lien,Cox,"4789 Central Pkwy",905-274-8660
Dona,Shelton,"3623 St. John Street",306-334-3372
Rose,Munsch,"2208 Carling Avenue",613-294-6282
Patricia,Walters,"2555 rue des Églises Est",819-622-1407
Donald,Nelson,"3612 Quayside Dr",604-805-0848
Yolanda,Deluna,"172 St Jean Baptiste St",819-548-8521
Frank,Loftin,"312 rue de la Gauchetière",514-392-1718
Michael,Williams,"2509 Ste. Catherine Ouest",514-743-7838
Jeremy,Watson,"4049 Venture Place",780-584-0460
John,Ritzman,"4895 Islington Ave",416-561-8545
Scott,Lopez,"1423 James Street",905-322-0618
Clarissa,Farmer,"1071 Port Washington Road",403-344-0869
Lou,Dunaway,"4682 St. John Street",306-742-0174
Patricia,Brewer,"603 Weston Rd",416-249-5291
Monica,Caulfield,"1026 Lock Street",519-341-6664
Earnest,Helton,"1422 Wallbridge Loyalist Rd",613-969-3343
Richard,Boley,"1021 Landon Street",705-724-1943
Christopher,Lindsay,"106 St Jean Baptiste St",418-536-4351
Heather,Durham,"149 Nootka Street",778-833-6455
Beatrice,Nguyen,"1502 Island Hwy",250-332-4001
Alfredo,Rader,"4313 Algonquin Blvd",705-668-0164
Brian,Ibarra,"2185 Halsey Avenue",416-385-1089
Brian,Lewis,"3959 40th Street",403-279-5590
Harry,Weil,"69 Gorham Street",519-640-9745
Linda,Cosgrove,"4111 Roger Street",250-923-1756
Edward,Blue,"4775 Islington Ave",416-528-4775
Keith,Webster,"4184 McGill Road",250-819-5041
Arlene,Potter,"449 St Jean Baptiste St",418-231-8637
Floyd,Welty,"774 40th Street",403-670-2939
Robert,Richardson,"1365 Edson Drive",780-740-0435
Maria,Milton,"4979 Winsloe Road",902-566-8360
Shirley,Dumas,"2304 St-Jacques Est",418-832-5754
Audrey,Munoz,"4887 Yonge Street",416-975-9796
Gerald,Rouse,"1139 rue Ontario Ouest",514-987-3584
Lawrence,Hitt,"4283 Paris St",705-525-1294
Darrel,Wolf,"3539 Lynden Road",905-729-9187
Ashley,Glenn,"4081 St. John Street",306-799-3835
Olga,Jackson,"60 Hardy Street",250-860-1753
Trenton,Peacock,"3718 Pitt St",613-361-9998
Jeffrey,Ellis,"3029 Northumberland Street",519-696-0507
Valarie,King,"3340 Playfair Avenue",416-425-4558
Andrew,Butler,"4547 Matheson St",807-467-6841
Roger,Light,"1283 Shaughnessy St",604-927-7204
Samuel,Spencer,"1690 MacLaren Street",613-563-6956
Ana,Hawk,"260 chemin Georges",450-885-5900
Debra,Flores,"1059 James Street",604-857-6024
Mario,Gates,"4435 Derry Rd",416-675-8806
Linda,Nelson,"3350 Reserve St",705-786-3966
Milagros,Moody,"632 Bridgeport Rd",905-575-0633
Harry,Shaw,"1980 rue Levy",514-607-7685
Brett,Burkhalter,"3167 Jasper Ave",780-993-1509
Philip,Murray,"3214 St. Paul Street",905-353-1855
Lyle,Villegas,"2790 90th Avenue",403-566-1542
Bonny,Shaw,"3960 Woodvale Drive",519-287-3257
Susan,Forbes,"4507 Speers Road",905-844-1401
Ann,Alcantara,"2943 Tycos Dr",416-974-9317
Clara,Berrian,"2985 Roger Street",250-710-7726
Karen,Asencio,"3781 Barton Street",905-664-8409
Lois,Porch,"2125 Bloor Street",780-583-1193
Lenita,Coleman,"1269 Lock Street",905-229-8433
Mitzi,Howard,"1510 St Marys Rd",204-227-1761
Marjory,Pittman,"3492 Richmond Road",403-943-6821
Amanda,Sande,"325 Nelson Street",705-273-5078
Shawn,Bourne,"1945 Smith Avenue",289-237-3730
Gloria,Perez,"410 Carling Avenue",613-298-8185
Dane,Grant,"3609 Halsey Avenue",416-384-8097
John,Delay,"4905 Essendene Avenue",604-755-5586
Michael,Marshall,"4850 Parkdale Ave",613-363-4117
Bonnie,Plum,"4325 Montreal Road",613-741-5889
Christopher,Gay,"4034 Eglinton Avenue",416-500-9330
Tina,Ford,"1150 Central Pkwy",905-607-4855
Audrey,Ricks,"3901 Sheppard Ave",416-336-2735
Brent,Laughter,"716 40th Street",403-888-4272
Lillian,Palumbo,"866 Glover Road",604-635-0524
Thomas,Huffman,"4202 St. John Street",306-948-9740
Jimmy,Weiss,"2986 rue Levy",514-791-1039
Daniel,Schmidt,"4910 Eglinton Avenue",647-998-4048
Jessica,Downs,"3357 Boulevard Cremazie",418-647-7147
Lena,Moore,"3717 Ross Street",613-284-6359
James,Smith,"3300 47th Avenue",867-536-2708
Larry,Hoskin,"42 Rose Street",306-526-0108
Wayne,Morgan,"207 Paris St",705-507-9293
Lisa,Diep,"1908 Robson St",604-608-1126
Ernest,Burnett,"4667 Reserve St",705-454-6481
Bryan,Mello,"2307 Carling Avenue",613-323-1072
Dennis,Cole,"4800 Danforth Avenue",416-404-7361
Todd,Mays,"4104 Brant Ave",780-676-4771
Scott,Carrillo,"1064 rue Parc",819-432-5114
Robert,Miller,"2185 Kinchant St",604-847-5424
Howard,Moore,"4723 Roger Street",250-730-5065
Ashley,Rosa,"2908 2nd Street",204-651-5647
John,English,"3853 A Avenue",780-414-8474
Fred,Bruce,"1042 Brand Road",306-373-5440
Mark,Hancock,"3145 Rue De La Gare",418-719-7660
Dorothy,Martin,"2894 Merton Street",416-985-7300
Bettyann,Hernandez,"2509 St. John Street",306-478-1996
Carmen,Minter,"304 MacLaren Street",613-350-3567
Roderick,Hale,"3725 49th Avenue",867-695-4532
Thomas,Smith,"470 rue Saint-Édouard",819-373-2495
Joanne,Latshaw,"3309 Boulevard Ste-Geneviève",418-817-9842
Idalia,Ferguson,"1787 Islington Ave",416-705-2868
Griselda,Peres,"4295 rue Principale",819-732-6798
Gregg,Leach,"240 Sturgeon Drive",780-926-5635
Brenda,Hall,"3898 Hyde Park Road",519-681-0979
James,Lamm,"2676 Holdom Avenue",604-585-2902
Renee,Warrington,"15 102nd Avenue",250-719-7468
Lindsey,Kirkland,"516 Robson St",604-687-8683
Johnnie,Viator,"3544 Reserve St",613-375-9950
Cathryn,Nix,"4029 rue Fournier",450-476-3166
William,Schroeder,"354 Lynden Road",905-893-7527
Mary,Kimberly,"4973 River Street",519-431-1039
Amy,Robinson,"3067 137th Avenue",780-457-0766
Jonathan,Gallagher,"2923 De L'Acadie Boul",514-946-2349
John,Cook,"2572 Roger Street",250-724-4233
Paul,Richardson,"2308 Kennedy Rd",705-344-5796
Phyllis,Chapman,"4379 Reserve St",613-584-1016
James,Svoboda,"836 90th Avenue",403-936-8343
Henry,Burke,"1509 Fallon Drive",519-234-2645
Hector,Peterson,"457 Broadmoor Blvd",780-416-0748
Adam,Downing,"3962 Landon Street",705-757-2426
Jeffrey,Smith,"2116 Tchesinkut Lake Rd",250-849-0691
Lacy,Wilson,"1042 rue St-Henri",450-659-9551
Elizabeth,Kirschner,"3693 Balmy Beach Road",519-377-9344
Robert,Brooks,"1911 Victoria Park Ave",647-296-1791
Samuel,Dawson,"1385 Papineau Avenue",514-880-1637
Esmeralda,Brown,"4207 Yonge Street",416-358-9914
Edward,Hale,"3451 Heritage Drive",403-319-9407
Dustin,Scott,"2128 River Street",519-882-7560
Rose,Velez,"4673 Barton Street",905-981-8807
Arthur,Waltz,"4138 40th Street",403-251-5310
Christina,Cromer,"989 Harvest Moon Dr",905-940-9877
Robert,Villasenor,"4378 Princess St",613-888-5218
Dennis,Rockett,"3133 Papineau Avenue",514-781-3544
Gladys,Wildman,"3915 Gateway Blvd",780-435-2812
Linda,Ong,"3672 90th Avenue",403-838-4168
Milton,Thompson,"4044 Glover Road",604-574-1667
Kennith,Hibbard,"2195 Merton Street",416-702-4025
Lisa,Lamb,"3969 Dominion St",613-448-7520
Crystal,Cox,"2184 Dundas St",519-317-6088
Fred,Riveria,"3673 De L'Acadie Boul",514-894-1515
Cole,Purnell,"2172 40th Street",403-214-5723
Susan,Reliford,"2882 Port Washington Road",403-729-0373
Elaine,Covington,"4461 Woodvale Drive",519-768-7632
Joyce,Olivares,"1564 Nelson Street",705-689-2877
Jennifer,Horn,"4482 Haaglund Rd",250-773-2922
Susan,Lee,"2858 Dundas St",519-857-2025
Robert,French,"2747 Yonge Street",416-926-3672
Thomas,Pietrzak,"2069 Princess St",613-544-7631
Mary,Kuss,"773 Exmouth Street",519-344-4253
Lewis,Lawson,"684 Brand Road",306-668-4464
Daniel,Conrad,"168 Hardy Street",250-860-3214
Vicki,Dryden,"2289 Ste. Catherine Ouest",514-312-9610
Aubrey,Wagoner,"4016 90th Avenue",403-838-4093
Tamika,Robbins,"1376 St. John Street",306-567-0323
Demetrius,White,"1949 Blind Bay Road",250-676-1396
Shirley,Melendez,"47 Cordova Street",604-603-0489
Joel,Johnson,"2826 St-Jerome Street",450-431-1441
Judy,Forman,"1096 Carling Avenue",613-799-5795
Daniel,Sato,"4421 Mesa Vista Drive",250-396-7360
Ryan,Neal,"1922 90th Avenue",403-839-9577
Rosemary,Murrell,"3754 St Jean Baptiste St",418-593-8686
Deanna,Carson,"3285 Eglinton Avenue",416-300-5217
Robert,Hansen,"881 Hardy Street",250-215-3619
William,Ream,"4269 Burdett Avenue",250-721-9477
Ethel,Sylvester,"3401 Hamilton Street",306-854-0887
Wayne,Morgan,"4355 Lauzon Parkway",519-734-7791
Wayne,Ledonne,"3652 rue Ontario Ouest",514-283-7789
James,Trevino,"3553 Royal Avenue",778-896-2620
Nancy,Landgraf,"532 Orenda Rd",905-451-1685
Lizzie,Roberts,"1747 Blanshard",250-385-1493
Maria,Avila,"1362 Rose Street",306-525-0039
Carrie,Depriest,"1271 Parkdale Avenue",905-627-5382
Wanda,McKinney,"4964 Davis Drive",905-714-9351
William,Baumer,"1891 Port Washington Road",403-758-2071
Brandon,Waldron,"3752 Sable Street",705-368-7311
Suzanne,Butt,"2324 Pape Ave",416-712-4718
Steve,Cruz,"86 Gorham Street",519-663-4669
Laura,Anderson,"2262 Borough Drive",416-290-8813
Paul,Trejo,"692 St Jean Baptiste St",418-240-4236
Stephen,Anderson,"1432 Paris St",705-522-7090
Mable,Helt,"3163 Lauzon Parkway",519-978-6114
Cherise,Williams,"4741 Old Spallumcheen Rd",604-794-6112
Laura,Powell,"973 9th Avenue",519-533-0728
Jesse,McCarty,"4156 Kennedy Rd",705-359-2423
Lawrence,Harpster,"459 Islington Ave",416-749-5767
Monica,Poirier,"3219 Mesa Vista Drive",250-350-7537
Sarah,Goodall,"722 Islington Ave",416-575-2015
Brandon,Marble,"862 Galts Ave",403-392-5403
Kathleen,Smith,"3392 Silver St",705-678-1094
Tammi,Davidson,"4910 184th Street",780-721-1173
Diane,Scott,"253 Bayfield St",905-784-4917
Robert,Wilburn,"659 Tycos Dr",416-931-7482
Danny,Reger,"3018 Dominion St",613-535-4186
David,Scott,"1128 James Street",705-473-7525
James,Mahurin,"1296 Derry Rd",905-676-7137
Stanley,Ramirez,"4005 Carling Avenue",613-851-2975
Robert,Friedman,"716 Grey Rd",519-924-0566
Robert,Boyle,"776 Blind Bay Road",250-836-9309
Roosevelt,Jackson,"3304 Yonge Street",416-968-8076
Olive,Fuchs,"3230 James Street",604-857-9787
John,Mercado,"1040 Churchill Plaza",705-941-5857
Jack,Huffman,"2624 9th Avenue",519-788-0077
Bradford,Smallwood,"4470 Haaglund Rd",250-767-8805
Richard,Massey,"343 Adelaide St",416-842-8636
Charles,Mitts,"1382 Roger Street",250-923-1877
Daniel,Gonzalez,"4466 Terry Fox Dr",306-722-7703
Donald,Snyder,"1580 Heatherleigh",905-290-2948
Tiffany,Demarco,"306 Acton Avenue",416-379-2445
Arnold,Joyner,"4006 St. John Street",306-362-5814
Robert,Williams,"693 Papineau Avenue",514-296-8562
Roger,Heckart,"1777 Exmouth Street",519-339-4539
Chadwick,Pearson,"1997 Venture Place",780-584-2049
Jeff,Taylor,"351 Rue De La Gare",819-244-9592
Geneva,Gentry,"1523 Coldstream Avenue",250-309-2425
June,Pham,"2648 Sturgeon Drive",780-212-4168
Dana,Rolston,"3771 rue Ontario Ouest",514-842-7402
Marilyn,Cramer,"2688 Rose Street",306-566-4651
Robert,Stevens,"4521 Port Washington Road",403-733-0892
Celina,Snapp,"847 Findlay Creek Road",250-866-6020
Lewis,Caley,"4888 Kennedy Rd",905-373-4686
Douglas,Turner,"3970 St. Paul Street",905-374-3257
Paul,Bell,"3308 Islington Ave",416-259-9351
Lilly,Hicks,"706 Eglinton Avenue",416-671-3226
Bryan,Bell,"3500 Sixth Street",604-526-9260
Rodney,Sanchez,"3782 St Jean Baptiste St",418-824-9310
Sparkle,White,"1100 Pope St",902-853-9345
Cheryl,Hurt,"4658 Tanner Street",604-437-5547
Venus,Huang,"884 St Jean Baptiste St",418-582-3412
Jack,Adams,"256 Eglinton Avenue",416-727-4372
Trenton,Sipes,"2520 Tycos Dr",416-883-8773
Alex,Alexander,"1032 Nootka Street",778-231-9971
Jonathan,Zehner,"1112 Yonge Street",416-928-5800
Dorothy,Hayes,"4233 Boulevard Cremazie",418-520-4138
Sharon,Lindsey,"3194 Gateway Blvd",780-988-9257
Elinor,Sanchez,"2921 Bayfield St",905-642-2410
Nancy,Kahn,"174 Water Street",519-783-2143
Rosie,Hampton,"3042 Mountain Avenue",204-822-1222
Angela,Crooks,"2612 rue Levy",514-913-8532
Jennifer,Lin,"349 rue Levy",514-910-4713
Jennifer,Thompson,"42 Rayborn Crescent",780-671-5351
Teri,McVey,"3609 Brand Road",306-774-3706
Dora,Wilder,"1971 Township Rd",780-826-9952
Colin,Stewart,"3821 James Street",250-707-7927
Samantha,Smith,"1166 Garafraxa St",519-708-5761
Teddy,Tran,"1835 MacLaren Street",613-786-8457
Dawn,Lacroix,"406 Yoho Valley Road",250-270-7003
Jeffrey,Hansford,"911 Merivale Road",613-599-8682
Shannon,Hart,"4352 Burdett Avenue",250-519-1689
Angela,Ortiz,"1649 Burdett Avenue",250-657-2664
Brian,Stack,"3762 rue Levy",514-974-4814
Joseph,Sears,"2396 Toy Avenue",905-442-3407
Helen,Tanouye,"2072 Burnt Island Road",705-769-9255
Harriet,Winkle,"565 Fourth Avenue",403-690-2990
John,Dailey,"1293 Heritage Drive",403-554-4319
Randall,Deem,"1754 Reserve St",613-372-1575
Courtney,Merritt,"3194 Tchesinkut Lake Rd",250-842-6124
William,Workman,"4464 Tycos Dr",416-518-7992
Barbara,Moore,"1850 Papineau Avenue",514-758-3444
Agatha,Campbell,"4389 Barton Street",905-961-8788
Charles,Cook,"248 Paris St",705-626-4811
William,Simmons,"1549 Davis Drive",905-788-7402
Todd,Thrailkill,"679 No. 3 Road",604-207-8478
Karen,Hoskins,"1203 Paradise Crescent",418-297-3452
Lissa,Wilson,"4432 184th Street",780-977-8255
Jason,Schmid,"4161 René-Lévesque Blvd",514-803-7473
Wallace,Anderson,"3461 Royal Avenue",778-895-6593
Georgeanna,Daughtry,"1881 Sixth Street",604-540-9043
John,Terry,"4525 Higginsville Road",902-256-9304
Arthur,Roberts,"659 Carlson Road",250-640-8767
Edward,Adams,"2005 Pine Street",403-747-2771
Lewis,Wagner,"3338 Sable Street",705-377-0247
Walter,Fox,"4498 MacLaren Street",613-940-6785
Esteban,Dallas,"4454 Ste. Catherine Ouest",514-780-4522
Ashley,Waugh,"4047 184th Street",780-690-1901
Jorge,Chambers,"4462 rue Ontario Ouest",514-496-3702
Virgie,Carter,"1043 Murray Road",902-894-6917
George,Scheidt,"1195 11th Ave",403-298-3234
Paul,Cole,"2666 Wallbridge Loyalist Rd",613-962-1892
Timothy,Whited,"4555 Dufferin Street",416-589-7638
Michael,Rider,"284 Albert Street",519-637-6843
Marguerite,Erskine,"3780 Ostrea Lake Rd",902-342-7379
Mike,Anderson,"3516 St Jean Baptiste St",418-233-6203
Christopher,Jent,"822 Eglinton Avenue",416-418-0762
Loretta,Hernandez,"1514 St Jean Baptiste St",418-985-5795
Veronica,Begin,"1646 Acton Avenue",416-636-6582
Shanna,Payne,"2711 Jasper Avenue",780-235-0453
Robert,Middleton,"3161 Tolmie St",604-629-8479
George,Rowe,"736 Dominion St",613-535-5279
Lisa,Whiting,"61 Nelson Street",807-442-4794
Debra,Gates,"4422 Calgary Avenue",250-482-0860
Carl,Alvarado,"4897 Bay Street",647-898-0267
Ernest,Mackenzie,"1165 rue des Églises Est",450-458-3637
Maria,Freeman,"3112 Maria St",905-592-6108
Stacy,Nash,"262 St-Jerome Street",450-569-6532
Kristopher,Smith,"4708 Bayfield St",905-784-0973
Chad,Phelps,"1440 St Jean Baptiste St",418-484-2702
Anthony,Hopkins,"4755 St. Paul Street",905-933-2033
Raymond,Wing,"2332 Hyde Park Road",519-691-0105
Frances,McCrady,"788 Reserve St",705-793-8665
Theresa,Baker,"2790 137th Avenue",780-482-7055
Wendy,Neubauer,"1251 Kennedy Rd",705-772-5807
Pedro,Owsley,"3328 rue Garneau",418-953-8804
Myrna,Gaddy,"3030 Islington Ave",416-807-1224
Gina,Johnson,"3294 White Point Road",902-260-9063
Richard,Parker,"3462 Burdett Avenue",250-216-0533
David,Roldan,"4548 Yonge Street",416-928-4874
Kathy,Newlon,"4619 Hammarskjold Dr",604-296-9112
Nicki,Ford,"2236 St Jean Baptiste St",418-582-3064
Carl,Nixon,"3535 Port Washington Road",403-572-8447
John,Webster,"3900 rue Levy",514-978-7952
Veronica,Johnson,"502 Lockhart Drive",705-727-8024
Barry,Parra,"3490 49th Avenue",867-396-7128
David,Hickman,"1478 Playfair Avenue",416-425-5922
Brandon,Szymanski,"323 Carling Avenue",613-203-9977
David,Mooney,"1047 Reserve St",905-344-7945
Christopher,Madsen,"1576 Brand Road",306-664-0075
Teresa,Hartmann,"2773 Brand Road",306-774-2146
Michelle,Rochon,"2700 Eglinton Avenue",647-206-6850
Joshua,Bodin,"1576 Main St",306-886-7690
Kelly,Vandeventer,"398 Carling Avenue",613-853-8318
Ollie,Pagan,"383 Rue King",819-572-3020
Aileen,Hughes,"923 Granville St",902-820-8960
Alexandra,Butler,"1438 Bridgeport Rd",905-304-6464
Jared,Conner,"1515 Jade St",604-926-3364
Max,McDuffie,"3514 Blanshard",250-361-4733
Jodi,Gaines,"3473 Baker Street",519-858-2088
Mildred,Spears,"1022 Yonge Street",416-928-9012
Paula,Little,"4367 James Street",705-367-3924
Paul,Rodriguez,"4994 Sixth Street",604-526-1317
Andrea,Roa,"393 Gorham Street",519-672-5598
Geneva,McGrath,"4748 47th Avenue",780-645-6417
Connie,McGinnis,"641 Carling Avenue",613-863-6298
Sean,Barrett,"2548 40th Street",403-398-6261
Ernestine,Croley,"1085 Park Ct",780-339-9089
Tracy,Dean,"782 90th Avenue",403-934-5115
Larry,Simmons,"4525 Roger Street",250-758-2104
Walter,Hayes,"901 MacLaren Street",613-660-2909
Stella,Patterson,"1946 Calgary Avenue",250-493-2515
Jeffery,Teague,"2963 Stum Lake Road",250-394-6813
Jonas,McKnight,"2940 Fourth Avenue",403-618-8480
Dawn,Hornbeck,"1671 Beaver Creek",905-881-1410
Sandra,Stephens,"711 Leslie Street",905-836-1779
Trisha,Blanchard,"3095 Calgary Avenue",250-462-7775
Patrick,Steeves,"2312 rue Levy",514-347-3973
Jessica,Vanderhoff,"4460 Hyde Park Road",519-789-6814
Dora,Callaway,"3324 Craven Place",403-580-0462
Eleanor,Thompson,"130 Island Hwy",250-287-2825
Wanda,Bevill,"921 Landon Street",705-752-2320
Kristin,Sklar,"725 Essendene Avenue",604-851-6684
Mireille,Locke,"1010 boulevard des Laurentides",819-840-6496
Scott,Johnson,"4803 Cork St",519-763-4164
Louis,Lee,"3993 Halsey Avenue",416-716-7365
Gregory,Durham,"1545 Burdett Avenue",250-516-7861
Kevin,Albrecht,"2276 5th Avenue",780-837-6638
Evan,Jeffords,"4074 James Street",705-658-4323
Samuel,Costello,"407 Ste. Catherine Ouest",514-448-8241
Dorris,McIntosh,"3475 49th Avenue",867-928-1634
Anastasia,Franco,"4032 49th Avenue",867-695-7924
Marilyn,Hirschman,"1304 River Street",519-847-2675
Peter,Davis,"2126 Queens Bay",250-355-8662
Keith,Jones,"4935 Fourth Avenue",403-680-6491
James,Getz,"886 Port Washington Road",403-643-3809
Stanley,Villani,"3158 Bragg Road",902-230-7007
Nicholas,Kelsey,"2405 Sheppard Ave",416-291-3657
William,Deaton,"4468 René-Lévesque Blvd",514-571-9102
Cedric,Kingston,"3245 Boulevard Cremazie",418-694-2897
Ernest,Lawrence,"3315 Scotchmere Dr",519-440-5144
Mary,Gamble,"2578 Calgary Avenue",250-488-7368
Tyson,Holt,"4560 Speers Road",905-339-0079
Mark,Ide,"4009 rue de la Gauchetière",514-673-6558
Stanley,Williams,"2295 Nelson Street",807-597-2579
Vicki,Palomo,"2402 Carling Avenue",613-850-4985
Cheryl,Lawrence,"409 40th Street",403-277-9077
Helena,Lundin,"976 Wellington Street",416-984-9198
Alecia,Seale,"3765 Speers Road",905-303-8607
Earnest,Brouillette,"4596 MacLaren Street",613-239-5512
Michael,Monahan,"2148 Pearl Street",905-363-1414
Joseph,Rothman,"2518 Hardy Street",250-869-6910
Corey,Esparza,"1383 Albert Street",306-784-1407
Harry,Bounds,"1227 Manitoba Street",705-205-8875
Patsy,Price,"2766 Bridgeport Rd",905-693-6510
Robert,Espinoza,"3857 Mesa Vista Drive",250-459-0371
Cliff,Howard,"2987 Silver Springs Blvd",403-226-2567
Shirley,Coates,"3442 Bay Street",416-823-9881
Rosa,Reed,"772 Charing Cross Rd",519-436-5449
Constance,Jamison,"3394 Côte Joyeuse",819-294-1253
Donnie,Purdue,"2789 Harvest Moon Dr",905-474-0989
Jacob,Metcalf,"2882 Seguin Street",705-773-6620
Christie,Knapp,"792 Queen Elisabeth Blvd",306-252-0144
Charles,Holmgren,"4379 Ontario St",905-246-4534
Christopher,Johnson,"274 Reserve St",613-534-2741
Betty,Richey,"2262 Bay Street",647-893-0633
Sandra,Han,"4983 Alness Street",416-665-2318
Robert,Porter,"1024 Princess St",613-876-9674
Tania,Snell,"3517 rue des Églises Est",819-726-3531
Kent,Almanza,"2827 rue des Églises Est",819-359-6350
Debra,Copeland,"2160 Baker Street",519-293-5661
Sally,Eshelman,"3693 Water Street",519-635-3566
Alex,Roberts,"397 St Jean Baptiste St",418-632-1199
Archie,Shafer,"2348 Merivale Road",613-829-0931
Mary,McCord,"2666 rue Levy",514-606-7804
Roger,Packard,"1654 Woolwick Drive",416-431-0653
Joseph,Schulz,"3648 Lyons Avenue",519-909-9437
Marie,Hamlin,"3056 No. 3 Road",604-207-3765
Renee,Williams,"1941 Galts Ave",403-505-6971
Russell,Olmo,"2401 Bridgeport Rd",905-304-7742
Kim,Shears,"4408 Princess St",613-548-2105
Jasmin,Johnson,"1683 Bellwood Acres Rd",705-387-4210
Thomas,Fairchild,"4474 James Street",705-372-7997
Mario,Hall,"1266 Scotchmere Dr",519-388-1048
Mary,Cooper,"2235 Goyeau Ave",519-816-7345
Michael,Woodworth,"2730 Isabella Street",613-922-5712
Gordon,Rambert,"4153 Burdett Avenue",250-631-1107
Louise,Phillips,"3106 Davis Drive",905-251-3585
Elizabeth,Rosado,"2726 Burdett Avenue",250-639-1781
Aimee,Orlowski,"135 Whitmore Road",905-850-3561
Julio,Mann,"1232 Dominion St",613-538-9381
Victor,Griffiths,"4209 Weir Crescent",416-208-9239
Kathleen,Craig,"1383 Toy Avenue",289-314-7834
Clifford,Tinkham,"3114 No. 3 Road",604-276-0097
Irene,Hunsberger,"171 Venture Place",780-698-6024
Robert,Gonzalez,"4255 Seguin Street",705-346-8692
Lauren,Flowers,"3505 Jasper Ave",780-932-1331
David,Cummins,"1285 Bank St",613-730-2767
Bobby,Tremblay,"2030 Brant Ave",403-379-8467
James,Jones,"1367 Glover Road",604-495-2852
Lynne,Gaskin,"3092 A Avenue",780-604-5622
Greg,Garcia,"4158 Port Washington Road",780-697-5000
Linda,Theiss,"4809 St Marys Rd",204-228-5313
Kelly,Matlock,"40 James Street",604-308-4732
Alice,Mosley,"4939 Sturgeon Drive",780-926-0676
William,Shultz,"4910 Bellwood Acres Rd",705-571-5036
Jeffery,Danna,"1859 Tycos Dr",416-540-0343
Emma,Tsai,"3482 Boulevard Cremazie",418-649-3234
Louis,Roche,"2963 Wyecroft Road",905-857-8627
Joel,Uriarte,"3224 Bridgeport Rd",705-440-2828
James,Tillman,"903 Toy Avenue",905-674-5250
Phyllis,Rogers,"3930 Halsey Avenue",416-443-4572
Robert,Volker,"58 Port Washington Road",403-546-6989
Margaret,Tucker,"3750 Queen Elisabeth Blvd",306-538-6223
Linda,Watts,"1655 Glen Long Avenue",416-785-2251
Enrique,White,"2296 Victoria Park Ave",416-772-1553
Virginia,Reyes,"160 Toy Avenue",905-441-3358
Olivia,Little,"4905 Brand Road",306-270-9821
James,Ochoa,"1983 Port Washington Road",403-344-0193
Larry,Roden,"284 Hyde Park Road",519-488-3256
Thelma,Grantham,"3266 Burdett Avenue",250-831-6718
Hilda,West,"541 Yonge Street",416-968-9019
Sam,James,"109 Victoria Park Ave",416-755-7321
Yvette,Oakley,"1580 Albert Street",519-452-2679
Donald,Martin,"3838 Higginsville Road",902-472-4360
Eric,Ivey,"4339 Carling Avenue",613-791-3827
Leona,Huggins,"4699 rue St-Henri",450-659-1699
Peggy,Reale,"4165 George Street",705-876-4448
Bryon,Gonzalez,"1454 Bayfield St",705-526-6942
Angel,Kerr,"3701 Port Washington Road",403-549-9147
Ana,O'Neill,"678 Maria St",905-632-4509
Robert,Singleton,"2364 rue Levy",514-706-8618
Elizabeth,Distefano,"2398 49th Avenue",867-980-7327
Roland,Cook,"3257 Central Pkwy",289-360-1834
Lisa,Riccardi,"2369 Dundas St",416-512-3632
Nina,Rhodes,"3636 rue des Églises Est",819-689-3827
Roberto,Brumfield,"4846 Park Ct",780-693-7768
Vera,Roper,"2914 Summerfield Blvd",780-608-9561
Julia,Sayles,"14 Islington Ave",416-747-8874
Tina,Pitts,"4783 Beaver Creek",905-771-7387
Douglas,Abbott,"911 Richmond Street",905-434-4102
Anna,Scott,"1940 Bay Street",416-834-7252
Rhonda,Heyward,"623 Parkdale Avenue",905-543-8999
Heather,Jasper,"557 Fallon Drive",519-237-9549
